0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:30:19 +0530] "GET /collabrationFront/assets/images/slid3.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:30:28 +0530] "GET /collabrationFront/ HTTP/1.1" 200 3912
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:30:45 +0530] "GET /collabrationFront/sign%20in.html HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:31:31 +0530] "GET /collabrationFront/ HTTP/1.1" 200 3913
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:31:31 +0530] "GET /collabrationFront/assets/js/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:31:31 +0530] "GET /collabrationFront/assets/js/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:31:31 +0530] "GET /collabrationFront/assets/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:31:33 +0530] "GET /collabrationFront/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:31:33 +0530] "GET /collabrationFront/assets/images/slid2.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:31:33 +0530] "GET /collabrationFront/assets/images/slid1.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:31:33 +0530] "GET /collabrationFront/assets/images/slid3.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:31:42 +0530] "GET /collabrationFront/sign%20in.html HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:32:51 +0530] "GET /collabrationFront/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:32:51 +0530] "GET /collabrationFront/assets/js/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:32:51 +0530] "GET /collabrationFront/assets/js/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:32:51 +0530] "GET /collabrationFront/assets/js/script.js HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:32:52 +0530] "GET /collabrationFront/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:32:52 +0530] "GET /collabrationFront/assets/images/slid1.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:32:52 +0530] "GET /collabrationFront/assets/images/slid2.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:32:52 +0530] "GET /collabrationFront/assets/images/slid3.jpeg HTTP/1.1" 304 -
